,Mainline,Fork,Pr nr,Filename,Operation,File classification,Interesting
136,apache/kafka,linkedin/kafka,13767,shell/src/main/java/org/apache/kafka/shell/state/MetadataShellState.java,None,NOT EXISTING,0
138,apache/kafka,linkedin/kafka,13767,shell/src/test/java/org/apache/kafka/shell/MetadataNodeManagerTest.java,None,NOT EXISTING,0
140,apache/kafka,linkedin/kafka,13767,shell/src/test/java/org/apache/kafka/shell/command/CommandTest.java,None,NOT EXISTING,0
141,apache/kafka,linkedin/kafka,13767,shell/src/test/java/org/apache/kafka/shell/command/CommandUtilsTest.java,None,NOT EXISTING,0
142,apache/kafka,linkedin/kafka,13767,shell/src/test/java/org/apache/kafka/shell/command/LsCommandHandlerTest.java,None,NOT EXISTING,0
143,apache/kafka,linkedin/kafka,13767,shell/src/test/java/org/apache/kafka/shell/glob/GlobVisitorTest.java,None,NOT EXISTING,0
145,apache/kafka,linkedin/kafka,13767,core/src/main/scala/kafka/zk/ZkMigrationClient.scala,None,OTHER EXT,0
146,apache/kafka,linkedin/kafka,13767,core/src/main/scala/kafka/zk/migration/ZkTopicMigrationClient.scala,None,OTHER EXT,0
147,apache/kafka,linkedin/kafka,13767,metadata/src/main/java/org/apache/kafka/metadata/migration/TopicMigrationClient.java,None,NOT EXISTING,0
148,apache/kafka,linkedin/kafka,13763,metadata/src/main/java/org/apache/kafka/image/loader/MetadataLoader.java,None,NOT EXISTING,0
165,apache/kafka,linkedin/kafka,13758,clients/src/main/java/org/apache/kafka/common/requests/ApiVersionsResponse.java,MODIFIED,MO,1
168,apache/kafka,linkedin/kafka,13758,clients/src/test/java/org/apache/kafka/clients/NodeApiVersionsTest.java,MODIFIED,MO,1
169,apache/kafka,linkedin/kafka,13758,clients/src/test/java/org/apache/kafka/clients/consumer/ConsumerPartitionAssignorTest.java,MODIFIED,ED,1
173,apache/kafka,linkedin/kafka,13758,clients/src/test/java/org/apache/kafka/common/network/NioEchoServer.java,MODIFIED,MO,1
174,apache/kafka,linkedin/kafka,13758,clients/src/test/java/org/apache/kafka/common/network/SaslChannelBuilderTest.java,MODIFIED,MO,1
176,apache/kafka,linkedin/kafka,13758,clients/src/test/java/org/apache/kafka/common/requests/ApiVersionsResponseTest.java,MODIFIED,ED,1
179,apache/kafka,linkedin/kafka,13758,clients/src/test/java/org/apache/kafka/common/security/authenticator/SaslServerAuthenticatorTest.java,MODIFIED,MO,1
180,apache/kafka,linkedin/kafka,13758,clients/src/test/java/org/apache/kafka/test/TestUtils.java,MODIFIED,ED,1
186,apache/kafka,linkedin/kafka,13758,connect/runtime/src/main/java/org/apache/kafka/connect/runtime/ConnectorConfig.java,MODIFIED,MO,1
188,apache/kafka,linkedin/kafka,13758,connect/runtime/src/main/java/org/apache/kafka/connect/runtime/SourceTaskOffsetCommitter.java,MODIFIED,MO,1
191,apache/kafka,linkedin/kafka,13758,connect/runtime/src/main/java/org/apache/kafka/connect/runtime/standalone/StandaloneHerder.java,MODIFIED,MO,1
192,apache/kafka,linkedin/kafka,13758,connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaConfigBackingStore.java,MODIFIED,MO,1
193,apache/kafka,linkedin/kafka,13758,connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaOffsetBackingStore.java,MODIFIED,MO,1
194,apache/kafka,linkedin/kafka,13758,connect/runtime/src/main/java/org/apache/kafka/connect/storage/KafkaStatusBackingStore.java,MODIFIED,MO,1
196,apache/kafka,linkedin/kafka,13758,connect/runtime/src/main/java/org/apache/kafka/connect/storage/MemoryOffsetBackingStore.java,MODIFIED,MO,1
198,apache/kafka,linkedin/kafka,13758,connect/runtime/src/main/java/org/apache/kafka/connect/util/TopicAdmin.java,MODIFIED,ED,1
200,apache/kafka,linkedin/kafka,13758,connect/runtime/src/test/java/org/apache/kafka/connect/runtime/SourceTaskOffsetCommitterTest.java,MODIFIED,ED,1
203,apache/kafka,linkedin/kafka,13758,connect/runtime/src/test/java/org/apache/kafka/connect/storage/KafkaStatusBackingStoreTest.java,MODIFIED,MO,1
204,apache/kafka,linkedin/kafka,13758,connect/runtime/src/test/java/org/apache/kafka/connect/util/TopicAdminTest.java,MODIFIED,ED,1
248,apache/kafka,linkedin/kafka,13758,examples/src/main/java/kafka/examples/ExactlyOnceMessageProcessor.java,MODIFIED,MO,1
249,apache/kafka,linkedin/kafka,13758,examples/src/main/java/kafka/examples/KafkaConsumerProducerDemo.java,MODIFIED,MO,1
250,apache/kafka,linkedin/kafka,13758,examples/src/main/java/kafka/examples/KafkaExactlyOnceDemo.java,MODIFIED,MO,1
251,apache/kafka,linkedin/kafka,13758,examples/src/main/java/kafka/examples/Producer.java,MODIFIED,MO,1
273,apache/kafka,linkedin/kafka,13758,metadata/src/main/java/org/apache/kafka/image/ClientQuotaImage.java,MODIFIED,MO,1
274,apache/kafka,linkedin/kafka,13758,metadata/src/main/java/org/apache/kafka/image/ClientQuotasImage.java,MODIFIED,MO,1
275,apache/kafka,linkedin/kafka,13758,metadata/src/main/java/org/apache/kafka/image/ClusterImage.java,MODIFIED,MO,1
277,apache/kafka,linkedin/kafka,13758,metadata/src/main/java/org/apache/kafka/image/ConfigurationImage.java,MODIFIED,MO,1
278,apache/kafka,linkedin/kafka,13758,metadata/src/main/java/org/apache/kafka/image/ConfigurationsDelta.java,MODIFIED,MO,1
279,apache/kafka,linkedin/kafka,13758,metadata/src/main/java/org/apache/kafka/image/ConfigurationsImage.java,MODIFIED,MO,1
285,apache/kafka,linkedin/kafka,13758,metadata/src/main/java/org/apache/kafka/image/TopicImage.java,MODIFIED,MO,1
286,apache/kafka,linkedin/kafka,13758,metadata/src/main/java/org/apache/kafka/image/TopicsImage.java,MODIFIED,MO,1
316,apache/kafka,linkedin/kafka,13758,metadata/src/test/java/org/apache/kafka/image/ConfigurationsImageTest.java,MODIFIED,MO,1
324,apache/kafka,linkedin/kafka,13758,metadata/src/test/java/org/apache/kafka/metalog/LocalLogManager.java,MODIFIED,MO,1
325,apache/kafka,linkedin/kafka,13758,metadata/src/test/java/org/apache/kafka/metalog/MockMetaLogManagerListener.java,MODIFIED,MO,1
329,apache/kafka,linkedin/kafka,13758,raft/src/main/java/org/apache/kafka/raft/ReplicatedCounter.java,MODIFIED,MO,1
330,apache/kafka,linkedin/kafka,13758,tests/kafkatest/services/zookeeper.py,MODIFIED,ED,1
332,apache/kafka,linkedin/kafka,13758,connect/runtime/src/main/java/org/apache/kafka/connect/runtime/isolation/DelegatingClassLoader.java,MODIFIED,MO,1
333,apache/kafka,linkedin/kafka,13758,connect/runtime/src/test/java/org/apache/kafka/connect/runtime/isolation/PluginsTest.java,MODIFIED,ED,1
